"symbol","date","open","high","low","close","volume","adjusted"
"AAPL",2011-02-22,12.219643,12.335714,12.061429,12.093214,872555600,10.292755
"AAPL",2011-02-23,12.098929,12.308571,12.093214,12.236429,671854400,10.414649
"AAPL",2011-02-24,12.286429,12.326786,12.084643,12.245714,499900800,10.422551
"AAPL",2011-02-25,12.330714,12.443929,12.314286,12.434286,380018800,10.583049
"AAPL",2011-02-28,12.544286,12.680357,12.54,12.614643,403074000,10.736554
"AAPL",2011-03-01,12.695357,12.704286,12.417143,12.475357,456136800,10.618008
"AAPL",2011-03-02,12.498571,12.655357,12.442857,12.575714,602590800,10.703422
"AAPL",2011-03-03,12.756786,12.849643,12.711429,12.841429,500788400,10.929574
"AAPL",2011-03-04,12.859643,12.8675,12.776786,12.857143,453266800,10.942948
"AAPL",2011-03-07,12.907143,12.916786,12.546786,12.691429,546123200,10.80191
"AAPL",2011-03-08,12.675357,12.764286,12.580357,12.705714,356316800,10.814067
"AAPL",2011-03-09,12.6675,12.67,12.521429,12.588214,453306000,10.714057
"AAPL",2011-03-10,12.468571,12.491786,12.317857,12.381071,507539200,10.537758
"AAPL",2011-03-11,12.333214,12.582857,12.321429,12.571071,471080400,10.699469
"AAPL",2011-03-14,12.613571,12.731429,12.546786,12.627143,435957200,10.747195
"AAPL",2011-03-15,12.217857,12.422857,12.146429,12.336786,721081200,10.500065
"AAPL",2011-03-16,12.214286,12.25,11.652143,11.786071,1162011200,10.031343
"AAPL",2011-03-17,12.029643,12.128929,11.809286,11.951429,659422400,10.17208
"AAPL",2011-03-18,12.040357,12.078571,11.785714,11.809643,753214000,10.051402
"AAPL",2011-03-21,11.999643,12.133571,11.973571,12.117857,409402000,10.313732
"AAPL",2011-03-22,12.234286,12.236429,12.112143,12.185714,325922800,10.371487
"AAPL",2011-03-23,12.117143,12.150714,11.998214,12.113929,372996400,10.310388
"AAPL",2011-03-24,12.208929,12.357143,12.102143,12.320357,404712000,10.486082
"AAPL",2011-03-25,12.431071,12.573571,12.393571,12.555,448910000,10.685791
"AAPL",2011-03-28,12.6125,12.654286,12.515714,12.515714,309355200,10.652353
"AAPL",2011-03-29,12.416429,12.534286,12.359286,12.534286,352900800,10.668158
"AAPL",2011-03-30,12.522857,12.531429,12.408571,12.451071,329406000,10.597335
"AAPL",2011-03-31,12.37,12.492857,12.359286,12.446786,274019200,10.593687
"AAPL",2011-04-01,12.539643,12.556786,12.260714,12.305714,418661600,10.473619
"AAPL",2011-04-04,12.296786,12.307143,12.085714,12.185357,460084800,10.371181
"AAPL",2011-04-05,12.035357,12.223214,12,12.103214,482731200,10.301269
"AAPL",2011-04-06,12.186429,12.282143,12.040714,12.072857,402539200,10.275428
"AAPL",2011-04-07,12.075,12.158214,12.001071,12.074286,373447200,10.276646
"AAPL",2011-04-08,12.14,12.148214,11.926786,11.966429,377535200,10.18485
"AAPL",2011-04-11,11.930714,11.988214,11.786429,11.814286,398946800,10.055354
"AAPL",2011-04-12,11.803214,11.918929,11.792857,11.871429,425639200,10.103989
"AAPL",2011-04-13,11.965,12.005,11.875714,12.004643,346220000,10.217373
"AAPL",2011-04-14,11.957143,12,11.859286,11.872143,301800800,10.104596
"AAPL",2011-04-15,11.903571,11.915714,11.671429,11.695,453605600,9.95383
"AAPL",2011-04-18,11.646429,11.865357,11.434286,11.851786,609898800,10.087274
"AAPL",2011-04-19,11.896429,12.070714,11.846786,12.066429,419378400,10.269961
"AAPL",2011-04-20,12.268214,12.348214,12.196429,12.228929,700666400,10.408264
"AAPL",2011-04-21,12.678571,12.683214,12.447143,12.525,753810400,10.66026
"AAPL",2011-04-25,12.512143,12.633929,12.510714,12.6075,266546000,10.730474
"AAPL",2011-04-26,12.629286,12.678214,12.476786,12.515,338800000,10.651743
"AAPL",2011-04-27,12.58,12.583929,12.396429,12.505357,356213200,10.64354
"AAPL",2011-04-28,12.363929,12.491071,12.34,12.383929,360959200,10.540193
"AAPL",2011-04-29,12.385,12.641071,12.381071,12.504643,1006345200,10.642935
"AAPL",2011-05-02,12.490714,12.516786,12.339286,12.367143,442713600,10.5259
"AAPL",2011-05-03,12.428214,12.496071,12.343571,12.435714,313348000,10.584263
"AAPL",2011-05-04,12.437857,12.565357,12.388571,12.484643,389250400,10.625906
"AAPL",2011-05-05,12.442857,12.533929,12.358929,12.383929,335969200,10.540193
"AAPL",2011-05-06,12.488929,12.5,12.364643,12.380714,280134400,10.537455
"AAPL",2011-05-09,12.423571,12.471429,12.376071,12.414286,204747200,10.566026
"AAPL",2011-05-10,12.460357,12.488929,12.380714,12.480357,282091600,10.622264
"AAPL",2011-05-11,12.465,12.5,12.33,12.401071,3.36e+08,10.55478
"AAPL",2011-05-12,12.361429,12.397143,12.223929,12.3775,3.22e+08,10.534718
"AAPL",2011-05-13,12.345,12.366071,12.155357,12.160714,326116000,10.350205
"AAPL",2011-05-16,12.114286,12.186429,11.878571,11.903571,449775200,10.131348
"AAPL",2011-05-17,11.857143,12.005,11.811786,12.005,452334400,10.217676
"AAPL",2011-05-18,12.016786,12.180357,12,12.138214,334776400,10.331059
"AAPL",2011-05-19,12.217143,12.228929,12.095357,12.161786,261170000,10.351119
"AAPL",2011-05-20,12.127143,12.176786,11.965,11.972143,337968400,10.18971
"AAPL",2011-05-23,11.784643,11.999286,11.765,11.942857,383600000,10.164783
"AAPL",2011-05-24,11.982143,11.996429,11.833571,11.863929,321927200,10.09761
"AAPL",2011-05-25,11.908214,12.091429,11.8875,12.027857,294224000,10.237131
"AAPL",2011-05-26,11.998929,12.031786,11.943929,11.964286,222560800,10.183022
"AAPL",2011-05-27,11.957143,12.058214,11.939643,12.050357,203599200,10.256279
"AAPL",2011-05-31,12.182143,12.4225,12.178571,12.4225,417754400,10.57302
"AAPL",2011-06-01,12.459643,12.576071,12.308929,12.339643,554682800,10.502498
